trimestre_origem,quartil,periodo,peso_ocupados_origem,n_ocupados_origem,pct_mesmo_grupo,pct_outro_grupo,pct_desocupado,pct_fora_da_forca,pct_informalizou
2021T3,Q3,atipico,16942928.206069052,29353,85.48472178473297,10.66728518525588,1.5722696306286887,2.2757233993824477,1.8837040161030174
2021T4,Q3,pre,17880445.3963019,32587,68.97414821201227,20.857436229793596,3.758351275206838,6.410064282987277,9.920005729286437
2022T1,Q3,pre,17975760.6257912,33829,70.99321824521708,20.78903223883835,2.832030042509079,5.385719473435493,9.436465426450022
2022T2,Q3,pre,18743095.52733883,36007,72.32093520539712,19.61997904804852,2.6216465078864317,5.437439238667934,9.421106395955324
2022T3,Q3,excluido,19125660.33431066,37241,73.75118323162796,18.901408473095028,2.1614325364127076,5.18597575886428,9.229344088841852
2022T4,Q3,excluido,18755137.73236775,36224,72.82067008926772,18.568696590474588,2.624176319428078,5.986457000829616,9.584175899347198
2023T1,Q3,pos,18719206.24450135,35052,73.5919291994834,19.16191169467993,2.178248590317759,5.06791051551892,9.385017713952987
2023T2,Q3,pos,19032534.96476724,35776,74.04106028351767,18.364121752037182,2.268004369095202,5.326813595349941,9.166377904925174
2023T3,Q3,pos,19055129.96664972,36727,72.98553386964642,19.666967903786702,2.07988461365576,5.267613612911132,9.094805004125398
2023T4,Q3,pos,19619419.35773094,36475,71.40950178338574,20.227444367516195,2.617169173212259,5.745884675885812,9.891389836042613
2024T1,Q3,pos,19115608.95843093,36334,72.62332141954982,20.224937512021775,2.0937327387873768,5.058008329641019,9.944047144877663
2024T2,Q3,pos,19817307.881656073,36984,73.53292757588966,19.514392999144867,1.782852402255046,5.16982702271042,9.613562339306192
2024T3,Q3,pos,19228120.56830799,37341,73.45437816225574,19.818009361207036,1.7810202759483045,4.946592200588934,9.341383819261896
2024T4,Q3,pos,19507410.25483477,36927,72.28185958273328,19.794001259178735,2.453536831894049,5.470602326193938,9.118540292579036
2025T1,Q3,pos,19422499.4421571,36516,72.55699957434739,20.4807082294056,1.6356295457949395,5.326662650452063,9.335515645032082
