quartil,periodo,grupo_origem,alvo,peso,n,pct_da_origem
Todos,pos,9,G8,3498363.40939068,7072,3.230941640178995
Todos,pos,9,G9,70934175.49489833,158858,65.5118278172676
Todos,pre,0,Desocupado,40537.43093806,83,1.0479694453168245
Todos,pre,0,Fora da força de trabalho,95192.86940237,246,2.460916151744982
Todos,pre,0,G0,3502883.72766059,7484,90.55618553368241
Todos,pre,0,G1,9166.37306759,23,0.23696812247148016
Todos,pre,0,G2,37194.79461117,83,0.9615559589086888
Todos,pre,0,G3,38190.16978211,78,0.9872882942253002
Todos,pre,0,G4,22869.46886791,52,0.5912191288297016
Todos,pre,0,G5,63589.13352601,141,1.643899661309404
Todos,pre,0,G6,2361.0492718299997,15,0.06103760002813316
Todos,pre,0,G7,14379.436795489999,33,0.3717357033691479
Todos,pre,0,G8,21355.79521311,49,0.5520877950548692
Todos,pre,0,G9,20467.99997866,54,0.529136605059058
Todos,pre,1,Desocupado,189798.27027688,326,1.117952943265242
Todos,pre,1,Fora da força de trabalho,319206.04049897,730,1.8801927539343735
Todos,pre,1,G0,7517.64067563,19,0.04428053273336299
Todos,pre,1,G1,9579666.95122576,17590,56.426314359979614
Todos,pre,1,G2,1582743.3186446,2829,9.322701144382705
Todos,pre,1,G3,1094763.00810263,2002,6.448391364688491
Todos,pre,1,G4,1023828.52087669,2103,6.0305718626584435
Todos,pre,1,G5,2010739.72426808,4147,11.843692724947175
Todos,pre,1,G6,125746.26444088,447,0.7406727481299685
Todos,pre,1,G7,549981.35528837,1070,3.239509369546333
Todos,pre,1,G8,227007.72332053,488,1.3371246853825651
Todos,pre,1,G9,266305.22905489,584,1.5685955103517328
Todos,pre,2,Desocupado,773359.20219848,1590,1.582314154925844
Todos,pre,2,Fora da força de trabalho,1241933.99615135,3036,2.541031044833363
Todos,pre,2,G0,33313.50579354,68,0.06816034724546276
Todos,pre,2,G1,1670014.4840261,2908,3.4168954730139647
Todos,pre,2,G2,39720002.78123141,78522,81.26821592834197
